season,user_id,owner,team_name,final_rank,reg_season_rank,reg_record,reg_win_pct,reg_pf,reg_pa,playoff_record,playoff_games,playoff_pf,total_record,total_pf,avg_ppg,high_week_score,high_week_when,low_week_score,low_week_when
2022,21680682,Andrew,HAPPY MAV,5,4,8-6-0,0.5714,1815.26,1721.9,0-1-0,1,128.24,8-7-0,1943.5,129.57,173.34,W2 vs Cat,85.3,W4 vs CJ
2022,21688760,Sean,Dude Lipas,6,3,9-5-0,0.6429,1752.98,1478.92,0-1-0,1,111.18,9-6-0,1864.16,124.28,161.2,W4 vs Joey,87.1,W17 vs Ricci
2022,21680276,CJ,Roofie My Kupp,7,11,4-10-0,0.2857,1478.4,1595.42,0-0-0,0,0.0,4-10-0,1478.4,105.6,148.86,W16 vs Connor,63.5,W10 vs Cat
2022,21679447,Mason,Show me your TDs,8,8,7-7-0,0.5,1567.68,1635.4,0-0-0,0,0.0,7-7-0,1567.68,111.98,144.4,W16 vs Charlie,82.6,W17 vs CJ
2022,22539599,Charlie,The Peak,9,9,7-7-0,0.5,1583.18,1530.74,0-0-0,0,0.0,7-7-0,1583.18,113.08,132.3,W12 vs CJ,85.34,W3 vs sean
2022,21679454,Connie,Short Bus Express,10,7,7-7-0,0.5,1646.88,1722.74,0-0-0,0,0.0,7-7-0,1646.88,117.63,152.96,W12 vs Chris,53.3,W16 vs CJ
2022,21239480,Connor,the people's tight end,11,12,2-12-0,0.1429,1489.34,1840.54,0-0-0,0,0.0,2-12-0,1489.34,106.38,141.54,W4 vs Isaac,71.76,W12 vs Kyle
2022,25036608,Luke,The GLIZZYS,12,10,4-10-0,0.2857,1534.14,1745.78,0-0-0,0,0.0,4-10-0,1534.14,109.58,151.32,W11 vs Cat,53.4,W14 vs Charlie
2023,21679454,Connie,Milk Man,1,2,8-6-0,0.5714,1812.08,1700.56,2-0-0,2,297.06,10-6-0,2109.14,131.82,185.96,W8 vs Joey,80.1,W4 vs Mason
2023,25033943,Isaac,Nathanael Bartholomew,2,1,11-3-0,0.7857,1756.44,1588.46,1-1-0,2,245.72,12-4-0,2002.16,125.14,174.0,W4 vs Joey,87.44,W1 vs Chris
2023,21688760,Sean,BIG BALLER BRAND,3,5,8-6-0,0.5714,1701.78,1708.94,2-1-0,3,381.9,10-7-0,2083.68,122.57,163.66,W10 vs Isaac,90.7,W8 vs Cat
2023,22539599,Charlie,Gang,4,3,8-6-0,0.5714,1887.72,1626.22,1-2-0,3,419.38,9-8-0,2307.1,135.71,186.6,W4 vs sean,84.64,W13 vs Luke
2023,30533399,Evan,Thanksgiving,5,6,7-7-0,0.5,1748.96,1703.86,0-1-0,1,106.32,7-8-0,1855.28,123.69,166.94,W13 vs Kyle,82.8,W1 vs sean
2023,25036608,Luke,The GLIZZYS,6,4,8-6-0,0.5714,1749.02,1680.64,0-1-0,1,74.3,8-7-0,1823.32,121.55,156.3,W3 vs Ricci,74.3,W15 vs sean
2023,21679447,Mason,Luh TD lickr,7,8,7-7-0,0.5,1706.76,1632.08,0-0-0,0,0.0,7-7-0,1706.76,121.91,154.22,W11 vs Ricci,91.66,W5 vs Chris
2023,21239480,Connor,CR North Indians,8,7,7-7-0,0.5,1734.12,1711.38,0-0-0,0,0.0,7-7-0,1734.12,123.87,182.36,W3 vs Kyle,84.98,W17 vs Mason
2023,21680087,Kyle,Ginger Ninger,9,11,5-9-0,0.3571,1576.02,1788.8,0-0-0,0,0.0,5-9-0,1576.02,112.57,168.16,W13 vs Evan,85.42,W9 vs sean
2023,21679440,Joey,Win Streak,10,12,4-10-0,0.2857,1578.08,1812.88,0-0-0,0,0.0,4-10-0,1578.08,112.72,158.16,W8 vs Connor,88.26,W10 vs Evan
2023,21680417,Chris,Mao Zelinskdong,11,9,6-8-0,0.4286,1603.32,1700.18,0-0-0,0,0.0,6-8-0,1603.32,114.52,152.38,W10 vs Luke,72.54,W11 vs Joey
2023,21680682,Andrew,KIM JOE UN,12,10,5-9-0,0.3571,1547.68,1747.98,0-0-0,0,0.0,5-9-0,1547.68,110.55,147.78,W7 vs Kyle,71.66,W15 vs Kyle
2024,25036608,Luke,The GLIZZYS,1,5,8-6-0,0.5714,1630.64,1646.06,3-0-0,3,435.08,11-6-0,2065.72,121.51,148.76,W15 vs Connor,96.64,W10 vs Mason
2024,21680682,Andrew,OG CARHARTT,2,2,10-4-0,0.7143,1823.74,1616.0,1-1-0,2,294.16,11-5-0,2117.9,132.37,163.72,W14 vs Isaac,93.52,W1 vs Cat
2024,21239480,Connor,CR North Indians,3,6,8-6-0,0.5714,1881.48,1736.06,2-1-0,3,457.76,10-7-0,2339.24,137.6,189.52,W4 vs Charlie,104.1,W11 vs Luke
2024,21688760,Sean,3-Star REECHIE,4,1,10-4-0,0.7143,1931.12,1632.08,0-2-0,2,276.36,10-6-0,2207.48,137.97,169.82,W10 vs Evan,102.56,W1 vs Kyle
2024,21680417,Chris,Naz Reid,5,4,9-5-0,0.6429,1885.66,1607.56,0-1-0,1,117.48,9-6-0,2003.14,133.54,161.1,W14 vs Evan,100.24,W1 vs Connor
2024,21679454,Connie,RIP Rashee,6,3,9-5-0,0.6429,1743.52,1643.24,0-1-0,1,132.3,9-6-0,1875.82,125.05,160.38,W12 vs Joey,86.84,W4 vs Mason
2024,30533399,Evan,WHITEBOY FOOTBALL,7,10,5-9-0,0.3571,1509.74,1826.36,0-0-0,0,0.0,5-9-0,1509.74,107.84,179.72,W15 vs Isaac,73.1,W14 vs Chris
