PRank Avg,Avg Rank,Name,Min Rank,Max Rank,Avg Min/Max,Key,Rank 1 (ESPN),PRank 1 (ESPN),Rank 2 (FPros),PRank 2 (FPros),Rank 3 (CBS),PRank 3 (CBS),Rank 4 (Ringer),PRank (Ringer),Rank 5 (NFL),PRank 5 (NFL),Rank 6 (Roto),PRank 6 (Roto)
RB24.7,68.5,Tony Pollard (TEN),61,73,67,,72,RB24,73,RB26,61,RB24,66,RB23,71,RB27,68,RB24
WR34.3,70.5,Rome Odunze (CHI),56,81,68.5,,56,WR27,80,WR37,81,WR41,70,WR35,73,WR33,63,WR33
WR34.3,70.7,Jordan Addison (MIN),56,80,68,,60,WR30,78,WR36,80,WR40,56,WR27,80,WR36,70,WR37
RB25.5,71.3,RJ Harvey (DEN),60,83,71.5,,77,RB25,71,RB24,63,RB25,83,RB29,60,RB24,74,RB26
QB7.5,74.2,Kyler Murray (ARI),24,94,59,,76,QB9,77,QB9,24,QB1,86,QB8,88,QB10,94,QB8
RB26.3,74.5,Isiah Pacheco (KC),59,88,73.5,,88,RB28,75,RB27,72,RB27,81,RB28,59,RB23,72,RB25
RB28.0,79,Kaleb Johnson (PIT),67,92,79.5,,92,RB29,79,RB28,75,RB28,84,RB30,67,RB25,77,RB28
QB7.7,79.2,Baker Mayfield (TB),64,95,79.5,,65,QB7,64,QB7,88,QB8,85,QB7,78,QB8,95,QB9
WR39.2,82,Jauan Jennings (SF),71,95,83,,79,WR39,84,WR40,74,WR35,95,WR43,89,WR40,71,WR38
WR40.0,82,Jakobi Meyers (LV),73,108,90.5,,75,WR38,82,WR38,77,WR37,77,WR39,108,WR49,73,WR39
WR40.0,82.7,Khalil Shakir (BUF),78,87,82.5,,82,WR40,83,WR39,85,WR42,87,WR41,81,WR37,78,WR41
TE7.3,82.8,Travis Kelce (KC),69,97,83,,71,TE6,76,TE6,69,TE6,92,TE10,97,TE9,92,TE7
WR39.8,83.3,Deebo Samuel Sr. (WAS),67,100,83.5,,85,WR41,100,WR43,79,WR39,67,WR33,93,WR43,76,WR40
TE7.2,83.5,Mark Andrews (BAL),62,113,87.5,,78,TE7,89,TE9,113,TE9,69,TE6,62,TE6,90,TE6
QB8.7,84.5,Bo Nix (DEN),69,96,82.5,,69,QB8,74,QB8,96,QB10,93,QB10,84,QB9,91,QB7
RB30.3,87.2,Jaylen Warren (PIT),80,94,87,,80,RB26,92,RB31,82,RB29,89,RB31,94,RB34,86,RB31
RB29.7,87.7,Brian Robinson Jr. (WAS),78,111,94.5,,111,RB33,87,RB29,87,RB31,78,RB26,79,RB30,84,RB29
RB30.3,87.7,Quinshon Judkins (CLE),71,99,85,,97,RB30,99,RB33,98,RB36,71,RB24,76,RB29,85,RB30
TE8.3,89.5,David Njoku (CLE),67,121,94,,81,TE8,85,TE8,67,TE5,82,TE8,101,TE10,121,TE11
WR43.2,92.2,Stefon Diggs (NE),80,109,94.5,,91,WR43,86,WR41,102,WR47,109,WR48,85,WR38,80,WR42
WR44.3,94,Ricky Pearsall (SF),86,104,95,,93,WR44,103,WR46,86,WR43,104,WR46,91,WR41,87,WR46
TE8.5,94.7,Evan Engram (DEN),81,114,97.5,,86,TE9,81,TE7,114,TE10,91,TE9,95,TE8,101,TE8
RB32.3,95.2,Tyrone Tracy Jr. (NYG),87,102,94.5,,102,RB31,96,RB32,95,RB35,94,RB32,87,RB32,97,RB32
WR45.0,95.8,Jayden Reed (GB),83,106,94.5,,98,WR45,102,WR45,106,WR48,88,WR42,98,WR45,83,WR45
QB11.3,96,Justin Fields (NYJ),77,108,92.5,,96,QB14,88,QB10,105,QB11,102,QB13,77,QB7,108,QB13
WR44.3,96,Cooper Kupp (SEA),76,106,91,,89,WR42,106,WR47,76,WR36,103,WR45,106,WR47,96,WR49
WR45.2,97.5,Josh Downs (IND),82,115,98.5,,101,WR46,95,WR42,92,WR44,115,WR49,100,WR46,82,WR44
QB11.7,99.3,Brock Purdy (SF),83,108,95.5,,83,QB10,91,QB11,108,QB13,107,QB14,105,QB12,102,QB10
QB11.8,99.5,Caleb Williams (CHI),90,107,98.5,1-10,90,QB12,94,QB13,107,QB12,101,QB12,102,QB11,103,QB11
TE10.5,99.8,Jonnu Smith (PIT),76,133,104.5,11-25,108,TE13,133,TE15,,,76,TE7,82,TE7,,
RB33.2,101.5,Travis Etienne Jr. (JAC),83,122,102.5,26-50,122,RB36,90,RB30,83,RB30,97,RB33,112,RB36,105,RB34
TE10.3,104,Tucker Kraft (GB),96,113,104.5,51-75,99,TE11,105,TE10,100,TE8,96,TE11,111,TE13,113,TE9
WR47.3,104.3,Michael Pittman Jr. (IND),80,128,104,76-100,114,WR49,101,WR44,115,WR49,80,WR40,128,WR55,88,WR47
QB12.7,105,Jared Goff (DET),90,129,109.5,101-125,95,QB13,98,QB15,111,QB14,90,QB9,129,QB13,107,QB12
RB35.3,105.3,Najee Harris (LAC),90,126,108,126-150,126,RB37,108,RB35,99,RB37,98,RB34,90,RB33,111,RB36
RB35.0,106.3,Rhamondre Stevenson (NE),89,116,102.5,,116,RB34,116,RB37,89,RB32,106,RB35,99,RB35,112,RB37
WR48.0,107.2,Darnell Mooney (ATL),81,127,104,,118,WR50,115,WR48,97,WR46,105,WR47,127,WR54,81,WR43
QB13.8,107.7,Dak Prescott (DAL),93,130,111.5,,100,QB15,93,QB12,93,QB9,121,QB19,130,QB14,109,QB14
RB36.2,109,Cam Skattebo (NYG),83,125,104,,119,RB35,121,RB40,91,RB34,125,RB39,83,RB31,115,RB38
WR49.3,110.5,Matthew Golden (GB),93,130,111.5,,110,WR48,129,WR52,94,WR45,130,WR55,107,WR48,93,WR48
RB36.5,111.3,Javonte Williams (DAL),90,133,111.5,,107,RB32,104,RB34,90,RB33,133,RB42,114,RB38,120,RB40
WR48.7,111.3,Brandon Aiyuk (SF),75,148,111.5,,134,WR54,117,WR49,148,WR57,75,WR38,96,WR44,98,WR50
QB14.5,112.7,Justin Herbert (LAC),87,138,112.5,,87,QB11,97,QB14,138,QB19,99,QB11,132,QB15,123,QB17
DST1.0,115,Broncos D/ST,115,115,115,,115,DST1,,,,,,,,,,
TE12.5,116.2,Tyler Warren (IND),94,134,114,,94,TE10,124,TE14,119,TE11,134,TE16,104,TE12,122,TE12
RB38.5,116.7,Zach Charbonnet (SEA),106,132,119,,132,RB38,114,RB36,109,RB41,117,RB36,122,RB45,106,RB35
WR51.2,116.8,Rashid Shaheed (NO),99,133,116,,105,WR47,131,WR54,133,WR54,116,WR50,,,99,WR51
RB41.0,118,Jaleel McLaughlin (DEN),118,118,118,,,,,,,,,,118,RB41,,
